lat,long,zero_name,first_name,first_type,second_name,second_type,third_name,third_type,zero_type
51.53,0.11,41-3 Wivenhoe Rd,Barking,"['locality', 'political']",Na,Na,Na,Na,['route']
51.58,0.43,16-15 Fonteyn Cl,Na,Na,Na,Na,Na,Na,['route']
51.78,0.6,Hatfield Peverel,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.68,0.02,Waltham Abbey,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.55,0.29,Upminster,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.91,0.9,Mile End,General Hospital (Stop 1),"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",General Hospital,"['transit_station', 'point_of_interest', 'establishment']",General Hospital (Stop 2),"['bus_station', 'transit_station', 'point_of_interest', 'establishment']","['locality', 'political']"
51.57,0.24,1-35 Wych Elm Rd,Seatly Limited,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Hornchurch,"['locality', 'political']",Na,Na,['route']
51.56,0.5,Na,Na,Na,Na,Na,Na,Na,Na
51.73,0.49,Chelmsford,Chelmsford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.52,-0.02,278-262 B140,Wings & Grill,"['restaurant', 'food', 'point_of_interest', 'establishment']",Paplu Veg,"['store', 'food', 'point_of_interest', 'establishment']",XLR8 Driving Tuition,"['point_of_interest', 'establishment']",['route']
51.5,-0.06,Millpond Estate,Karen Conlan Graphic Design,"['point_of_interest', 'establishment']",London,"['locality', 'political']",Na,Na,['route']
51.5,0.32,1-4 Grantham Way,Grays,"['locality', 'political']",Na,Na,Na,Na,['route']
51.58,0.61,84-66 Daws Heath Rd,Rayleigh,"['locality', 'political']",Na,Na,Na,Na,['route']
51.53,-0.01,Hunt's Lane,Strand East,"['premise', 'point_of_interest', 'establishment']",London,"['locality', 'political']",Na,Na,['route']
51.61,-0.05,Angel Edmonton Road,London,"['locality', 'political']",Na,Na,Na,Na,['route']
51.76,0.53,Boreham,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.69,0.47,Chelmsford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.9,0.86,Colchester,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.58,0.11,Ilford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.63,0.07,M11,Chigwell,"['locality', 'political']",Na,Na,Na,Na,['route']
51.6,0.18,9-47 Esk Way,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.5,0,London,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.6,0.05,Woodford,South Woodford Cricket and Sports Club,"['park', 'premise', 'point_of_interest', 'establishment']",Na,Na,Na,Na,"['locality', 'political']"
51.5,0.23,A13,Rainham,"['locality', 'political']",Na,Na,Na,Na,['route']
51.61,-0.13,49-54 Tewkesbury Terrace,Budget Landscapes,"['general_contractor', 'point_of_interest', 'establishment']",Polygon Arts,"['point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
